City,State,Year,Population,Date
Aguila,AZ,2021,519,7/7/2021
Aguila,AZ,2020,565,7/7/2020
Ajo,AZ,2021,2987,7/7/2021
Ajo,AZ,2020,3039,7/7/2020
Ak Chin,AZ,2021,54,7/7/2021
Ak Chin,AZ,2020,50,7/7/2020
Ak-Chin Village,AZ,2021,888,7/7/2021
Ak-Chin Village,AZ,2020,884,7/7/2020
Alamo Lake,AZ,2021,0,7/7/2021
Alamo Lake,AZ,2020,4,7/7/2020
Ali Chuk,AZ,2021,111,7/7/2021
Ali Chuk,AZ,2020,119,7/7/2020
Ali Chukson,AZ,2021,109,7/7/2021
Ali Chukson,AZ,2020,113,7/7/2020
Ali Molina,AZ,2021,59,7/7/2021
Ali Molina,AZ,2020,61,7/7/2020
Alpine,AZ,2021,146,7/7/2021
Alpine,AZ,2020,146,7/7/2020
Amado,AZ,2021,178,7/7/2021
Amado,AZ,2020,198,7/7/2020
Anegam,AZ,2021,149,7/7/2021
Anegam,AZ,2020,149,7/7/2020
Antares,AZ,2021,134,7/7/2021
Antares,AZ,2020,132,7/7/2020
Anthem,AZ,2021,23488,7/7/2021
Anthem,AZ,2020,23190,7/7/2020
Apache Junction,AZ,2021,39031,7/7/2021
Apache Junction,AZ,2020,38499,7/7/2020
Apache Junction,AZ,2019,42571,7/7/2019
Apache Junction,AZ,2018,41536,7/7/2018
Apache Junction,AZ,2017,40618,7/7/2017
Apache Junction,AZ,2016,39661,7/7/2016
Apache Junction,AZ,2015,38523,7/7/2015
Apache Junction,AZ,2014,37610,7/7/2014
Apache Junction,AZ,2013,36732,7/7/2013
Apache Junction,AZ,2012,36156,7/7/2012
Apache Junction,AZ,2011,35723,7/7/2011
Apache Junction,AZ,2010,35918,7/7/2010
Apache Junction,AZ,2009,34284,7/7/2009
Apache Junction,AZ,2008,33515,7/7/2008
Apache Junction,AZ,2007,32529,7/7/2007
Apache Junction,AZ,2006,31228,7/7/2006
Apache Junction,AZ,2005,32564,7/7/2005
Apache Junction,AZ,2004,33836,7/7/2004
Apache Junction,AZ,2003,34350,7/7/2003
Apache Junction,AZ,2002,33958,7/7/2002
Apache Junction,AZ,2001,32841,7/7/2001
Apache Junction,AZ,2000,32087,7/7/2000
Arivaca,AZ,2021,609,7/7/2021
Arivaca,AZ,2020,623,7/7/2020
Arivaca Junction,AZ,2021,946,7/7/2021
Arivaca Junction,AZ,2020,970,7/7/2020
Arizona City,AZ,2021,9746,7/7/2021
Arizona City,AZ,2020,9868,7/7/2020
